site,treatment,tile.type,cage.number,tile.number,surv,mean.flow,mean.sal,mean.temp,mean.prop,mean.chl
ml,np,no.cull,3,61,0.8,4.333518519,24.38127201,29.42461878,0.14995141,19.83583
ml,np,no.cull,3,599,1,4.333518519,24.38127201,29.42461878,0.14995141,19.83583
ml,np,no.cull,3,605,1,4.333518519,24.38127201,29.42461878,0.14995141,19.83583
ml,np,no.cull,3,628,0.9,4.333518519,24.38127201,29.42461878,0.14995141,19.83583
ml,np,no.cull,3,629,1,4.333518519,24.38127201,29.42461878,0.14995141,19.83583
ml,np,no.cull,3,661,1,4.333518519,24.38127201,29.42461878,0.14995141,19.83583
ml,np,no.cull,9,72,1,4.333518519,24.38127201,29.42461878,0.14995141,19.83583
ml,np,no.cull,9,133,0.7,4.333518519,24.38127201,29.42461878,0.14995141,19.83583
ml,np,no.cull,9,135,0.8,4.333518519,24.38127201,29.42461878,0.14995141,19.83583
ml,np,no.cull,9,151,1,4.333518519,24.38127201,29.42461878,0.14995141,19.83583
ml,np,no.cull,9,163,0.9,4.333518519,24.38127201,29.42461878,0.14995141,19.83583
ml,np,no.cull,9,425,0.9,4.333518519,24.38127201,29.42461878,0.14995141,19.83583
ml,np,no.cull,20,126,0.9,4.333518519,24.38127201,29.42461878,0.14995141,19.83583
ml,np,no.cull,20,156,1,4.333518519,24.38127201,29.42461878,0.14995141,19.83583
ml,np,no.cull,20,347,1,4.333518519,24.38127201,29.42461878,0.14995141,19.83583
ml,np,no.cull,20,443,0.9,4.333518519,24.38127201,29.42461878,0.14995141,19.83583
ml,np,no.cull,20,456,0.9,4.333518519,24.38127201,29.42461878,0.14995141,19.83583
ml,np,no.cull,20,463,1,4.333518519,24.38127201,29.42461878,0.14995141,19.83583
pf,np,no.cull,28,388,1,12.28648148,17.66887223,29.00033664,0.140907884,16.395
pf,np,no.cull,28,556,0.9,12.28648148,17.66887223,29.00033664,0.140907884,16.395
pf,np,no.cull,28,560,1,12.28648148,17.66887223,29.00033664,0.140907884,16.395
pf,np,no.cull,28,568,1,12.28648148,17.66887223,29.00033664,0.140907884,16.395
pf,np,no.cull,28,572,1,12.28648148,17.66887223,29.00033664,0.140907884,16.395
pf,np,no.cull,28,578,1,12.28648148,17.66887223,29.00033664,0.140907884,16.395
pf,np,no.cull,40,331,1,12.28648148,17.66887223,29.00033664,0.140907884,16.395
pf,np,no.cull,40,344,1,12.28648148,17.66887223,29.00033664,0.140907884,16.395
pf,np,no.cull,40,352,1,12.28648148,17.66887223,29.00033664,0.140907884,16.395
pf,np,no.cull,40,368,1,12.28648148,17.66887223,29.00033664,0.140907884,16.395
pf,np,no.cull,40,558,1,12.28648148,17.66887223,29.00033664,0.140907884,16.395
pf,np,no.cull,40,567,0.9,12.28648148,17.66887223,29.00033664,0.140907884,16.395
pf,np,no.cull,42,310,1,12.28648148,17.66887223,29.00033664,0.140907884,16.395
pf,np,no.cull,42,337,1,12.28648148,17.66887223,29.00033664,0.140907884,16.395
pf,np,no.cull,42,338,1,12.28648148,17.66887223,29.00033664,0.140907884,16.395
pf,np,no.cull,42,340,1,12.28648148,17.66887223,29.00033664,0.140907884,16.395
pf,np,no.cull,42,354,1,12.28648148,17.66887223,29.00033664,0.140907884,16.395
pf,np,no.cull,42,473,0.9,12.28648148,17.66887223,29.00033664,0.140907884,16.395
sin,np,no.cull,57,67,0.6,5.602777778,28.83,26.86194888,0.347238139,33.76083
sin,np,no.cull,57,709,0.4,5.602777778,28.83,26.86194888,0.347238139,33.76083
sin,np,no.cull,57,790,0.4,5.602777778,28.83,26.86194888,0.347238139,33.76083
sin,np,no.cull,57,823,0.6,5.602777778,28.83,26.86194888,0.347238139,33.76083
sin,np,no.cull,57,841,0.8,5.602777778,28.83,26.86194888,0.347238139,33.76083
sin,np,no.cull,57,857,0.1,5.602777778,28.83,26.86194888,0.347238139,33.76083
sin,np,no.cull,61,261,0.2,5.602777778,28.83,26.86194888,0.347238139,33.76083
sin,np,no.cull,61,281,0.6,5.602777778,28.83,26.86194888,0.347238139,33.76083
sin,np,no.cull,61,720,0.6,5.602777778,28.83,26.86194888,0.347238139,33.76083
sin,np,no.cull,61,723,1,5.602777778,28.83,26.86194888,0.347238139,33.76083
sin,np,no.cull,61,731,0.7,5.602777778,28.83,26.86194888,0.347238139,33.76083
sin,np,no.cull,61,736,1,5.602777778,28.83,26.86194888,0.347238139,33.76083
sin,np,no.cull,64,858,0.7,5.602777778,28.83,26.86194888,0.347238139,33.76083
sin,np,no.cull,64,861,0.5,5.602777778,28.83,26.86194888,0.347238139,33.76083
sin,np,no.cull,64,863,0.8,5.602777778,28.83,26.86194888,0.347238139,33.76083
sin,np,no.cull,64,866,0.4,5.602777778,28.83,26.86194888,0.347238139,33.76083
sin,np,no.cull,64,868,0.7,5.602777778,28.83,26.86194888,0.347238139,33.76083
sin,np,no.cull,64,869,0.5,5.602777778,28.83,26.86194888,0.347238139,33.76083