site,treatment,tile.type,cage.number,tile.number,live,dead
ml,cc,no.cull,5,85,10,0
ml,cc,no.cull,5,99,10,0
ml,cc,no.cull,5,128,10,0
ml,cc,no.cull,5,205,10,0
ml,cc,no.cull,11,148,10,0
ml,cc,no.cull,22,90,10,0
ml,cc,no.cull,22,121,10,0
ml,cc,no.cull,22,213,10,0
ml,mc,no.cull,6,158,10,0
ml,mc,no.cull,6,171,10,0
ml,mc,no.cull,6,195,10,0
ml,mc,no.cull,6,211,10,0
ml,mc,no.cull,17,345,10,0
ml,mc,no.cull,17,412,10,0
ml,mc,no.cull,17,445,10,0
ml,mc,no.cull,17,448,10,0
ml,mc,no.cull,19,80,10,0
ml,mc,no.cull,19,112,10,0
ml,mc,no.cull,19,118,10,0
ml,mc,no.cull,19,159,10,0
ml,mc,no.cull,24,84,10,0
ml,mc,no.cull,24,153,10,0
ml,np,no.cull,3,599,10,0
ml,np,no.cull,3,605,10,0
ml,np,no.cull,3,629,10,0
ml,np,no.cull,3,661,10,0
ml,np,no.cull,9,72,10,0
ml,np,no.cull,9,151,10,0
ml,np,no.cull,20,156,10,0
ml,np,no.cull,20,347,10,0
ml,np,no.cull,20,463,10,0
pf,cc,no.cull,33,399,10,0
pf,cc,no.cull,33,509,10,0
pf,cc,no.cull,33,512,10,0
pf,cc,no.cull,33,529,10,0
pf,cc,no.cull,33,534,10,0
pf,cc,no.cull,33,540,10,0
pf,cc,no.cull,39,28,10,0
pf,cc,no.cull,39,376,10,0
pf,cc,no.cull,39,380,10,0
pf,cc,no.cull,39,389,10,0
pf,cc,no.cull,39,468,10,0
pf,cc,no.cull,43,52,10,0
pf,cc,no.cull,43,554,10,0
pf,cc,no.cull,43,555,10,0
pf,cc,no.cull,43,573,10,0
pf,cc,no.cull,43,584,10,0
pf,cc,no.cull,43,586,10,0
pf,mc,no.cull,27,485,10,0
pf,mc,no.cull,27,495,10,0
pf,mc,no.cull,27,499,10,0
pf,mc,no.cull,27,518,10,0
pf,mc,no.cull,27,532,10,0
pf,mc,no.cull,27,548,10,0
pf,mc,no.cull,31,317,10,0
pf,mc,no.cull,31,326,10,0
pf,mc,no.cull,31,343,10,0
pf,mc,no.cull,31,365,10,0
pf,mc,no.cull,31,379,10,0
pf,mc,no.cull,38,139,10,0
pf,mc,no.cull,38,162,10,0
pf,mc,no.cull,38,167,10,0
pf,mc,no.cull,38,217,10,0
pf,mc,no.cull,38,218,10,0
pf,mc,no.cull,38,223,10,0
pf,mc,no.cull,44,306,10,0
pf,mc,no.cull,44,348,10,0
pf,mc,no.cull,44,384,10,0
pf,mc,no.cull,44,461,10,0
pf,mc,no.cull,47,230,10,0
pf,mc,no.cull,47,241,10,0
pf,mc,no.cull,47,242,10,0
pf,mc,no.cull,47,247,10,0
pf,mc,no.cull,47,255,10,0
pf,mc,no.cull,47,266,10,0
pf,mc,no.cull,48,54,10,0
pf,mc,no.cull,48,55,10,0
pf,mc,no.cull,48,59,10,0
pf,mc,no.cull,48,237,10,0
pf,mc,no.cull,48,408,10,0
pf,mc,no.cull,48,588,10,0
pf,np,no.cull,28,388,10,0
pf,np,no.cull,28,560,10,0
pf,np,no.cull,28,568,10,0
pf,np,no.cull,28,572,10,0
pf,np,no.cull,28,578,10,0
pf,np,no.cull,40,331,10,0
pf,np,no.cull,40,344,10,0
pf,np,no.cull,40,352,10,0
pf,np,no.cull,40,368,10,0
pf,np,no.cull,40,558,10,0
pf,np,no.cull,42,310,10,0
pf,np,no.cull,42,337,10,0
pf,np,no.cull,42,338,10,0
pf,np,no.cull,42,340,10,0
pf,np,no.cull,42,354,10,0
sin,cc,no.cull,55,676,10,0
sin,cc,no.cull,55,684,10,0
sin,cc,no.cull,58,727,10,0
sin,mc,no.cull,56,44,10,0
sin,mc,no.cull,56,50,10,0
sin,mc,no.cull,56,62,10,0
sin,mc,no.cull,56,654,10,0
sin,mc,no.cull,56,668,10,0
sin,mc,no.cull,62,622,10,0
sin,mc,no.cull,62,630,10,0
sin,mc,no.cull,62,642,10,0
sin,mc,no.cull,62,680,10,0
sin,mc,no.cull,62,722,10,0
sin,mc,no.cull,62,726,10,0
sin,np,no.cull,61,723,10,0
sin,np,no.cull,61,736,10,0
ml,cc,no.cull,5,182,9,1
ml,cc,no.cull,5,398,9,1
ml,cc,no.cull,22,92,9,1
ml,cc,no.cull,22,107,9,1
ml,mc,no.cull,6,194,9,1
ml,mc,no.cull,14,123,9,1
ml,mc,no.cull,14,191,9,1
ml,mc,no.cull,16,75,9,1
ml,mc,no.cull,16,79,9,1
ml,mc,no.cull,16,427,9,1
ml,mc,no.cull,17,455,9,1
ml,mc,no.cull,19,9,9,1
ml,mc,no.cull,24,125,9,1
ml,mc,no.cull,24,173,9,1
ml,np,no.cull,3,628,9,1
ml,np,no.cull,9,163,9,1
ml,np,no.cull,9,425,9,1
ml,np,no.cull,20,126,9,1
ml,np,no.cull,20,443,9,1
ml,np,no.cull,20,456,9,1
pf,cc,no.cull,39,68,9,1
pf,mc,no.cull,31,330,9,1
pf,mc,no.cull,44,314,9,1
pf,mc,no.cull,44,353,9,1
pf,np,juv.cull,42,321,9,1
pf,np,no.cull,28,556,9,1
pf,np,no.cull,40,567,9,1
pf,np,no.cull,42,473,9,1
sin,cc,no.cull,55,781,9,1
sin,cc,no.cull,58,703,9,1
sin,mc,no.cull,50,773,9,1
sin,mc,no.cull,56,658,9,1
ml,cc,no.cull,11,137,8,2
ml,cc,no.cull,11,664,8,2
ml,cc,no.cull,22,168,8,2
ml,mc,no.cull,6,114,8,2
ml,mc,no.cull,14,26,8,2
ml,mc,no.cull,16,214,8,2
ml,mc,no.cull,16,438,8,2
ml,mc,no.cull,17,97,8,2
ml,mc,no.cull,19,131,8,2
ml,mc,no.cull,24,120,8,2
ml,mc,no.cull,24,202,8,2
ml,np,no.cull,3,61,8,2
ml,np,no.cull,9,135,8,2
pf,mc,juv.cull,48,53,8,2
sin,cc,no.cull,55,669,8,2
sin,mc,no.cull,49,33,8,2
sin,mc,no.cull,71,845,8,2
sin,mc,no.cull,72,638,8,2
sin,np,no.cull,57,841,8,2
sin,np,no.cull,64,863,8,2
ml,mc,no.cull,14,29,7,3
ml,np,no.cull,9,133,7,3
pf,mc,juv.cull,27,513,7,3
pf,np,juv.cull,40,341,7,3
sin,cc,no.cull,58,711,7,3
sin,cc,no.cull,58,713,7,3
sin,mc,juv.cull,56,65,7,3
sin,mc,juv.cull,72,828,7,3
sin,mc,no.cull,50,771,7,3
sin,mc,no.cull,71,598,7,3
sin,mc,no.cull,71,817,7,3
sin,mc,no.cull,72,834,7,3
sin,np,no.cull,61,731,7,3
sin,np,no.cull,64,858,7,3
sin,np,no.cull,64,868,7,3
ml,cc,no.cull,11,145,6,4
ml,cc,no.cull,11,147,6,4
ml,mc,no.cull,14,492,6,4
pf,cc,juv.cull,33,497,6,4
pf,cc,juv.cull,33,498,6,4
pf,cc,juv.cull,33,511,6,4
pf,cc,juv.cull,33,515,6,4
pf,cc,juv.cull,33,536,6,4
pf,cc,juv.cull,33,549,6,4
pf,cc,juv.cull,39,43,6,4
pf,cc,juv.cull,39,373,6,4
pf,cc,juv.cull,39,385,6,4
pf,cc,juv.cull,39,390,6,4
pf,cc,juv.cull,39,391,6,4
pf,cc,juv.cull,43,70,6,4
pf,cc,juv.cull,43,403,6,4
pf,cc,juv.cull,43,406,6,4
pf,cc,juv.cull,43,562,6,4
pf,cc,juv.cull,43,587,6,4
pf,cc,juv.cull,43,590,6,4
pf,mc,juv.cull,27,503,6,4
pf,mc,juv.cull,27,504,6,4
pf,mc,juv.cull,27,516,6,4
pf,mc,juv.cull,27,546,6,4
pf,mc,juv.cull,27,563,6,4
pf,mc,juv.cull,31,308,6,4
pf,mc,juv.cull,31,313,6,4
pf,mc,juv.cull,31,316,6,4
pf,mc,juv.cull,31,349,6,4
pf,mc,juv.cull,31,377,6,4
pf,mc,juv.cull,31,469,6,4
pf,mc,juv.cull,38,138,6,4
pf,mc,juv.cull,38,219,6,4
pf,mc,juv.cull,38,222,6,4
pf,mc,juv.cull,38,226,6,4
pf,mc,juv.cull,38,233,6,4
pf,mc,juv.cull,38,239,6,4
pf,mc,juv.cull,44,318,6,4
pf,mc,juv.cull,44,350,6,4
pf,mc,juv.cull,44,371,6,4
pf,mc,juv.cull,44,378,6,4
pf,mc,juv.cull,44,394,6,4
pf,mc,juv.cull,44,396,6,4
pf,mc,juv.cull,47,243,6,4
pf,mc,juv.cull,47,248,6,4
pf,mc,juv.cull,47,268,6,4
pf,mc,juv.cull,47,269,6,4
pf,mc,juv.cull,48,56,6,4
pf,mc,juv.cull,48,221,6,4
pf,mc,juv.cull,48,576,6,4
pf,mc,juv.cull,48,582,6,4
pf,mc,juv.cull,48,589,6,4
pf,mc,no.cull,47,238,6,4
pf,np,juv.cull,28,325,6,4
pf,np,juv.cull,28,476,6,4
pf,np,juv.cull,28,574,6,4
pf,np,juv.cull,40,323,6,4
pf,np,juv.cull,40,332,6,4
pf,np,juv.cull,40,356,6,4
pf,np,juv.cull,40,446,6,4
pf,np,juv.cull,40,564,6,4
pf,np,juv.cull,42,305,6,4
pf,np,juv.cull,42,307,6,4
pf,np,juv.cull,42,328,6,4
pf,np,juv.cull,42,357,6,4
pf,np,juv.cull,42,465,6,4
sin,cc,juv.cull,55,37,6,4
sin,cc,juv.cull,55,677,6,4
sin,cc,juv.cull,55,681,6,4
sin,cc,juv.cull,58,704,6,4
sin,cc,juv.cull,58,716,6,4
sin,cc,juv.cull,70,36,6,4
sin,cc,no.cull,55,688,6,4
sin,cc,no.cull,55,770,6,4
sin,mc,juv.cull,50,777,6,4
sin,mc,juv.cull,50,793,6,4
sin,mc,juv.cull,56,46,6,4
sin,mc,juv.cull,56,57,6,4
sin,mc,juv.cull,56,648,6,4
sin,mc,juv.cull,56,663,6,4
sin,mc,juv.cull,62,298,6,4
sin,mc,juv.cull,62,466,6,4
sin,mc,juv.cull,62,611,6,4
sin,mc,juv.cull,62,616,6,4
sin,mc,juv.cull,62,635,6,4
sin,mc,juv.cull,62,721,6,4
sin,mc,no.cull,49,42,6,4
sin,mc,no.cull,71,846,6,4
sin,mc,no.cull,72,640,6,4
sin,np,juv.cull,61,634,6,4
sin,np,juv.cull,61,717,6,4
sin,np,juv.cull,61,718,6,4
sin,np,no.cull,57,67,6,4
sin,np,no.cull,57,823,6,4
sin,np,no.cull,61,281,6,4
sin,np,no.cull,61,720,6,4
ml,cc,juv.cull,5,8,5,5
ml,cc,juv.cull,5,87,5,5
ml,cc,juv.cull,5,98,5,5
ml,cc,juv.cull,5,109,5,5
ml,cc,juv.cull,5,192,5,5
ml,cc,juv.cull,5,203,5,5
ml,cc,juv.cull,11,149,5,5
ml,cc,juv.cull,11,155,5,5
ml,cc,juv.cull,22,188,5,5
ml,cc,juv.cull,22,206,5,5
ml,cc,juv.cull,22,209,5,5
ml,cc,no.cull,11,166,5,5
ml,mc,juv.cull,6,113,5,5
ml,mc,juv.cull,6,116,5,5
ml,mc,juv.cull,6,161,5,5
ml,mc,juv.cull,6,184,5,5
ml,mc,juv.cull,6,199,5,5
ml,mc,juv.cull,6,608,5,5
ml,mc,juv.cull,14,4,5,5
ml,mc,juv.cull,17,88,5,5
ml,mc,juv.cull,17,444,5,5
ml,mc,juv.cull,17,460,5,5
ml,mc,juv.cull,19,117,5,5
ml,mc,juv.cull,19,124,5,5
ml,mc,juv.cull,19,132,5,5
ml,mc,juv.cull,19,144,5,5
ml,mc,juv.cull,24,108,5,5
ml,mc,juv.cull,24,122,5,5
ml,mc,juv.cull,24,154,5,5
ml,mc,juv.cull,24,204,5,5
ml,mc,juv.cull,24,207,5,5
ml,mc,no.cull,14,14,5,5
ml,mc,no.cull,16,15,5,5
ml,np,juv.cull,3,597,5,5
ml,np,juv.cull,3,600,5,5
ml,np,juv.cull,3,609,5,5
ml,np,juv.cull,3,620,5,5
ml,np,juv.cull,9,78,5,5
ml,np,juv.cull,9,134,5,5
ml,np,juv.cull,9,136,5,5
ml,np,juv.cull,9,431,5,5
ml,np,juv.cull,20,76,5,5
ml,np,juv.cull,20,303,5,5
ml,np,juv.cull,20,335,5,5
ml,np,juv.cull,20,452,5,5
pf,cc,juv.cull,39,392,5,5
pf,mc,juv.cull,47,232,5,5
pf,np,juv.cull,28,478,5,5
pf,np,juv.cull,28,553,5,5
pf,np,juv.cull,28,585,5,5
sin,cc,juv.cull,55,687,5,5
sin,cc,juv.cull,55,784,5,5
sin,cc,juv.cull,58,691,5,5
sin,cc,no.cull,58,699,5,5
sin,cc,no.cull,70,750,5,5
sin,mc,juv.cull,50,767,5,5
sin,mc,juv.cull,50,776,5,5
sin,mc,juv.cull,56,63,5,5
sin,mc,juv.cull,71,819,5,5
sin,mc,juv.cull,71,842,5,5
sin,mc,juv.cull,72,821,5,5
sin,mc,no.cull,49,873,5,5
sin,mc,no.cull,50,35,5,5
sin,mc,no.cull,50,775,5,5
sin,mc,no.cull,72,830,5,5
sin,np,juv.cull,61,712,5,5
sin,np,juv.cull,64,854,5,5
sin,np,juv.cull,64,864,5,5
sin,np,no.cull,64,861,5,5
sin,np,no.cull,64,869,5,5
ml,cc,juv.cull,11,174,4,6
ml,cc,juv.cull,22,129,4,6
ml,cc,juv.cull,22,130,4,6
ml,mc,juv.cull,14,488,4,6
ml,mc,juv.cull,16,421,4,6
ml,mc,juv.cull,16,441,4,6
ml,mc,juv.cull,17,474,4,6
ml,mc,juv.cull,19,91,4,6
ml,mc,juv.cull,19,119,4,6
ml,mc,juv.cull,24,152,4,6
ml,np,juv.cull,3,650,4,6
ml,np,juv.cull,9,111,4,6
ml,np,juv.cull,20,102,4,6
sin,cc,juv.cull,55,692,4,6
sin,cc,juv.cull,58,705,4,6
sin,cc,juv.cull,58,706,4,6
sin,cc,no.cull,58,820,4,6
sin,cc,no.cull,70,749,4,6
sin,mc,juv.cull,49,769,4,6
sin,mc,juv.cull,72,802,4,6
sin,mc,no.cull,49,737,4,6
sin,mc,no.cull,49,764,4,6
sin,mc,no.cull,71,844,4,6
sin,np,juv.cull,57,822,4,6
sin,np,juv.cull,61,299,4,6
sin,np,juv.cull,61,732,4,6
sin,np,juv.cull,64,852,4,6
sin,np,juv.cull,64,865,4,6
sin,np,no.cull,57,709,4,6
sin,np,no.cull,57,790,4,6
sin,np,no.cull,64,866,4,6
ml,cc,juv.cull,11,172,3,7
ml,cc,juv.cull,11,651,3,7
ml,cc,juv.cull,11,666,3,7
ml,cc,juv.cull,22,170,3,7
ml,mc,juv.cull,14,201,3,7
ml,mc,juv.cull,14,502,3,7
ml,mc,juv.cull,16,95,3,7
ml,mc,juv.cull,16,101,3,7
ml,mc,juv.cull,16,436,3,7
ml,mc,juv.cull,17,83,3,7
ml,mc,juv.cull,17,104,3,7
ml,np,juv.cull,3,519,3,7
ml,np,juv.cull,9,140,3,7
ml,np,juv.cull,20,86,3,7
sin,cc,juv.cull,58,719,3,7
sin,cc,juv.cull,70,752,3,7
sin,mc,juv.cull,49,762,3,7
sin,mc,juv.cull,50,768,3,7
sin,mc,juv.cull,50,789,3,7
sin,mc,juv.cull,71,645,3,7
sin,mc,juv.cull,71,843,3,7
sin,mc,juv.cull,71,847,3,7
sin,mc,juv.cull,72,831,3,7
sin,mc,no.cull,49,742,3,7
sin,mc,no.cull,50,157,3,7
sin,mc,no.cull,50,778,3,7
sin,mc,no.cull,71,824,3,7
sin,mc,no.cull,72,836,3,7
sin,np,juv.cull,64,862,3,7
sin,cc,juv.cull,70,763,2,8
sin,cc,no.cull,70,743,2,8
sin,mc,juv.cull,49,738,2,8
sin,mc,juv.cull,49,760,2,8
sin,mc,juv.cull,49,761,2,8
sin,mc,juv.cull,71,818,2,8
sin,mc,juv.cull,72,835,2,8
sin,np,juv.cull,57,40,2,8
sin,np,juv.cull,57,754,2,8
sin,np,juv.cull,57,840,2,8
sin,np,juv.cull,57,848,2,8
sin,np,juv.cull,64,867,2,8
sin,np,no.cull,61,261,2,8
ml,mc,juv.cull,14,662,1,9
ml,mc,juv.cull,16,437,1,9
sin,cc,no.cull,70,745,1,9
sin,cc,no.cull,70,756,1,9
sin,mc,juv.cull,49,765,1,9
sin,mc,no.cull,72,826,1,9
sin,np,juv.cull,57,753,1,9
sin,np,no.cull,57,857,1,9